Team,Matches Scouted,Crossed %,Auto Switch,Auto Scale,Auto Exchange,Auto Drop %,Tele Switch,Tele Scale,Tele Opp Switch,Tele Exchange,Tele Drop,Tele Total Switch,Tele Total Cube,Tele Switch and Exchange
63,8,100.0,0.875,0.0,0.0,0.0,0.25,2.0,0.0,2.5,0.625,0.25,4.75,2.75
93,8,87.5,0.5,0.0,0.0,12.5,0.5,1.75,0.125,5.125,0.5,0.625,7.5,5.75
111,9,88.88888888888889,0.2222222222222222,0.0,0.0,0.0,0.6666666666666666,2.2222222222222223,0.6666666666666666,1.3333333333333333,1.1111111111111112,1.3333333333333333,4.888888888888889,2.6666666666666665
269,10,90.0,0.5,0.1,0.0,10.0,0.8,1.8,0.1,4.8,0.4,0.9,7.5,5.7
279,10,90.0,0.7,0.0,0.0,10.0,0.2,3.4,0.2,0.2,0.9,0.4,4.0,0.6
323,9,100.0,0.5555555555555556,0.0,0.0,0.0,0.7777777777777778,2.888888888888889,1.8888888888888888,1.4444444444444444,0.7777777777777778,2.6666666666666665,7.0,4.111111111111111
537,10,50.0,0.0,0.0,0.0,20.0,0.5,0.0,0.0,2.2,0.2,0.5,2.7,2.7
706,8,87.5,0.125,0.0,0.0,0.0,0.75,0.125,0.625,1.75,0.75,1.375,3.25,3.125
930,10,100.0,0.1,0.0,0.0,30.0,0.5,3.2,0.7,0.1,0.1,1.2,4.5,1.3
1091,10,100.0,0.0,0.0,0.0,10.0,0.6,0.3,0.2,1.5,0.4,0.8,2.6,2.3
1108,10,100.0,0.1,0.0,0.0,10.0,0.9,2.5,0.2,0.8,0.5,1.1,4.4,1.9
1259,10,90.0,0.6,0.1,0.0,30.0,1.3,4.3,1.5,0.3,1.0,2.8,7.4,3.1
1306,8,100.0,0.625,0.0,0.0,12.5,1.125,2.625,1.5,0.75,1.5,2.625,6.0,3.375
1675,9,88.88888888888889,0.1111111111111111,0.0,0.0,44.44444444444444,1.2222222222222223,0.0,0.0,5.666666666666667,0.2222222222222222,1.2222222222222223,6.888888888888889,6.888888888888889
1714,10,90.0,0.0,0.0,0.0,20.0,1.1,1.3,0.1,0.8,0.7,1.2,3.3,2.0
1716,8,87.5,0.125,0.0,0.0,0.0,0.125,0.25,0.0,0.875,0.125,0.125,1.25,1.0
1732,9,100.0,0.6666666666666666,0.1111111111111111,0.0,11.11111111111111,0.1111111111111111,3.3333333333333335,0.7777777777777778,0.3333333333333333,0.8888888888888888,0.8888888888888888,4.555555555555555,1.2222222222222223
1781,8,100.0,0.125,0.0,0.0,25.0,0.625,0.75,0.0,1.875,0.625,0.625,3.25,2.5
1792,9,88.88888888888889,0.5555555555555556,0.0,0.0,0.0,1.5555555555555556,3.4444444444444446,0.4444444444444444,0.7777777777777778,0.3333333333333333,2.0,6.222222222222222,2.7777777777777777
2039,11,54.54545454545455,0.0,0.0,0.0,9.090909090909092,0.2727272727272727,0.2727272727272727,0.0,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.6363636363636364,0.36363636363636365
2062,10,80.0,0.0,0.0,0.0,20.0,0.3,0.3,0.1,1.7,0.4,0.4,2.4,2.1
2077,10,60.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.8,0.3,0.8,1.6,1.6
2194,9,100.0,1.2222222222222223,0.0,0.0,0.0,0.3333333333333333,3.2222222222222223,1.8888888888888888,0.0,0.3333333333333333,2.2222222222222223,5.444444444444445,2.2222222222222223
2202,9,100.0,0.3333333333333333,0.1111111111111111,0.0,33.333333333333336,0.2222222222222222,3.111111111111111,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.8888888888888888,4.777777777777778,1.6666666666666667
2470,8,100.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,1.625,0.125,0.0,1.75,1.625
2481,10,100.0,0.6,0.8,0.0,20.0,1.2,3.4,5.6,0.6,1.0,6.8,10.8,7.4
2506,10,80.0,0.1,0.0,0.0,20.0,0.1,0.5,0.6,0.1,0.5,0.7,1.3,0.8
2574,9,77.77777777777777,0.0,0.0,0.0,11.11111111111111,0.0,1.2222222222222223,0.0,2.111111111111111,0.6666666666666666,0.0,3.3333333333333335,2.111111111111111
2830,9,100.0,0.4444444444444444,0.0,0.0,11.11111111111111,1.1111111111111112,2.2222222222222223,0.4444444444444444,1.5555555555555556,0.4444444444444444,1.5555555555555556,5.333333333333333,3.111111111111111
3081,11,72.72727272727273,0.0,0.0,0.0,9.090909090909092,0.18181818181818182,0.09090909090909091,0.18181818181818182,1.2727272727272727,0.2727272727272727,0.36363636363636365,1.7272727272727273,1.6363636363636365
3130,9,77.77777777777777,0.8888888888888888,0.1111111111111111,0.0,33.333333333333336,0.4444444444444444,2.888888888888889,1.6666666666666667,1.2222222222222223,1.0,2.111111111111111,6.222222222222222,3.3333333333333335
3197,8,87.5,0.875,0.0,0.0,0.0,0.125,3.125,0.125,0.375,1.0,0.25,3.75,0.625
3381,10,100.0,0.1,0.3,0.0,30.0,0.8,2.0,0.0,1.6,0.2,0.8,4.4,2.4
